Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Indonesia,IDN,9311.19166666667,8577.13333333333,8938.85,9704.74166666667,9159.31666666667,9141,9698.9625,10389.9375,9090.43333333333,8770.43333333333,9386.62916666667,10461.24,11865.2112962963,13389.4129365079,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"Iran, Islamic Rep.",IRN,6907.04390787754,8193.88751916667,8613.98942075,8963.95890666667,9170.9428775,9281.15182833333,9428.52826083333,9864.3024562682,10254.176470289,10616.3066439076,12175.5472222222,18414.4480100374,25941.6641445972,29011.491377053,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Iraq,IRQ,0.310857393911747,2133.7777777,1453.41666666667,1472,1467.41666666667,1254.56721858704,1193.08333333333,1170,1170,1170,1166.16666666667,1166,1166,1167.33333333333,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Isle of Man,IMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Israel,ISR,4.737825,4.55413333333333,4.48198333333333,4.4877,4.45580833333333,4.10808294905578,3.58802119408369,3.93233547791667,3.738975,3.5781293062201,3.85592182539682,3.61075833333333,3.577925,3.88683333333333,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Jamaica,JAM,48.4159416666667,57.74087375,61.1972,62.2807149440837,65.7438575396825,69.1921618494152,72.7562034061521,87.8941198106535,87.1961368125477,85.8924583333333,88.7509373623927,100.241055631431,110.934529155866,116.897590181625,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Japan,JPN,125.388019166667,115.933464166667,108.192569166667,110.218211666667,116.299311666667,117.753529166667,103.359493968254,93.5700890870457,87.779875,79.8070198321892,79.7904554170065,97.5956582776385,105.944781034025,121.044025684011,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Jordan,JOR,0.708999833333333,0.709,0.709,0.709,0.709,0.708999766666667,0.70966655,0.71,0.71,0.71,0.71,0.71,0.71,0.71,..
